time,temperature_2m,relative_humidity_2m,wind_speed_10m,date
2024-09-22 00:00:00,10.5,100,1.4,2024-09-22
2024-09-22 01:00:00,10.2,100,1.0,2024-09-22
2024-09-22 02:00:00,10.1,100,1.0,2024-09-22
2024-09-22 03:00:00,9.6,100,0.5,2024-09-22
2024-09-22 04:00:00,9.2,100,1.6,2024-09-22
2024-09-22 05:00:00,9.6,100,1.5,2024-09-22
2024-09-22 06:00:00,9.6,100,0.4,2024-09-22
2024-09-22 07:00:00,10.2,100,1.3,2024-09-22
2024-09-22 08:00:00,11.3,97,2.3,2024-09-22
2024-09-22 09:00:00,14.9,82,1.9,2024-09-22
2024-09-22 10:00:00,18.7,71,2.7,2024-09-22
2024-09-22 11:00:00,21.5,62,3.0,2024-09-22
2024-09-22 12:00:00,22.9,56,4.7,2024-09-22
2024-09-22 13:00:00,23.6,52,2.9,2024-09-22
2024-09-22 14:00:00,23.8,51,3.6,2024-09-22
2024-09-22 15:00:00,23.7,51,4.0,2024-09-22
2024-09-22 16:00:00,23.0,56,3.4,2024-09-22
2024-09-22 17:00:00,21.8,65,2.8,2024-09-22
2024-09-22 18:00:00,19.9,74,3.4,2024-09-22
2024-09-22 19:00:00,17.3,89,2.3,2024-09-22
2024-09-22 20:00:00,15.8,94,2.2,2024-09-22
2024-09-22 21:00:00,15.1,93,2.2,2024-09-22
2024-09-22 22:00:00,14.6,91,2.2,2024-09-22
2024-09-22 23:00:00,14.2,91,1.3,2024-09-22
2024-09-23 00:00:00,14.0,92,1.8,2024-09-23
2024-09-23 01:00:00,13.8,92,1.8,2024-09-23
2024-09-23 02:00:00,13.5,93,0.8,2024-09-23
2024-09-23 03:00:00,13.0,96,3.2,2024-09-23
2024-09-23 04:00:00,13.1,97,2.6,2024-09-23
2024-09-23 05:00:00,13.2,97,1.6,2024-09-23
2024-09-23 06:00:00,13.6,97,1.8,2024-09-23
2024-09-23 07:00:00,14.8,94,1.6,2024-09-23
2024-09-23 08:00:00,16.8,90,2.3,2024-09-23
2024-09-23 09:00:00,18.1,83,3.6,2024-09-23
2024-09-23 10:00:00,18.9,78,8.4,2024-09-23
2024-09-23 11:00:00,20.1,69,9.7,2024-09-23
2024-09-23 12:00:00,20.8,64,8.7,2024-09-23
2024-09-23 13:00:00,20.7,64,8.5,2024-09-23
2024-09-23 14:00:00,20.5,64,7.7,2024-09-23
