time,temperature_2m,relative_humidity_2m,wind_speed_10m,date
2024-09-26 00:00:00,14.5,86,13.1,2024-09-26
2024-09-26 01:00:00,14.4,84,12.8,2024-09-26
2024-09-26 02:00:00,14.4,84,13.6,2024-09-26
2024-09-26 03:00:00,13.6,92,12.9,2024-09-26
2024-09-26 04:00:00,13.9,93,10.8,2024-09-26
2024-09-26 05:00:00,14.5,90,14.2,2024-09-26
2024-09-26 06:00:00,14.4,91,18.9,2024-09-26
2024-09-26 07:00:00,15.0,87,12.7,2024-09-26
2024-09-26 08:00:00,16.6,84,15.6,2024-09-26
2024-09-26 09:00:00,17.1,85,17.8,2024-09-26
2024-09-26 10:00:00,17.9,85,16.1,2024-09-26
2024-09-26 11:00:00,18.2,85,15.1,2024-09-26
2024-09-26 12:00:00,18.6,83,15.7,2024-09-26
2024-09-26 13:00:00,18.2,84,17.8,2024-09-26
2024-09-26 14:00:00,18.1,86,16.0,2024-09-26
2024-09-26 15:00:00,17.6,88,14.2,2024-09-26
2024-09-26 16:00:00,17.0,86,15.3,2024-09-26
2024-09-26 17:00:00,15.9,84,11.3,2024-09-26
2024-09-26 18:00:00,15.5,92,10.1,2024-09-26
2024-09-26 19:00:00,15.4,88,14.0,2024-09-26
2024-09-26 20:00:00,15.7,86,15.9,2024-09-26
2024-09-26 21:00:00,15.8,84,16.6,2024-09-26
2024-09-26 22:00:00,15.7,80,19.4,2024-09-26
2024-09-26 23:00:00,15.5,79,18.9,2024-09-26
2024-09-27 00:00:00,15.4,79,16.4,2024-09-27
2024-09-27 01:00:00,15.0,81,13.0,2024-09-27
2024-09-27 02:00:00,14.9,81,14.1,2024-09-27
2024-09-27 03:00:00,14.6,81,11.5,2024-09-27
2024-09-27 04:00:00,13.7,83,8.2,2024-09-27
2024-09-27 05:00:00,13.2,80,9.2,2024-09-27
2024-09-27 06:00:00,12.7,87,6.1,2024-09-27
2024-09-27 07:00:00,14.0,79,11.3,2024-09-27
2024-09-27 08:00:00,15.2,74,18.0,2024-09-27
2024-09-27 09:00:00,16.2,68,19.1,2024-09-27
2024-09-27 10:00:00,17.1,60,25.2,2024-09-27
2024-09-27 11:00:00,17.7,57,21.7,2024-09-27
2024-09-27 12:00:00,17.9,56,21.0,2024-09-27
2024-09-27 13:00:00,16.5,61,21.8,2024-09-27
2024-09-27 14:00:00,14.8,71,18.8,2024-09-27
2024-09-27 15:00:00,14.3,72,19.3,2024-09-27
2024-09-27 16:00:00,13.6,76,17.3,2024-09-27
2024-09-27 17:00:00,13.2,76,16.6,2024-09-27
2024-09-27 18:00:00,12.5,79,13.8,2024-09-27
2024-09-27 19:00:00,12.1,79,12.4,2024-09-27
2024-09-27 20:00:00,11.2,87,8.8,2024-09-27
2024-09-27 21:00:00,10.9,88,10.5,2024-09-27
2024-09-27 22:00:00,11.1,82,10.1,2024-09-27
2024-09-27 23:00:00,11.2,81,9.6,2024-09-27
2024-09-28 00:00:00,11.0,83,9.3,2024-09-28
2024-09-28 01:00:00,11.3,82,11.8,2024-09-28
2024-09-28 02:00:00,11.2,84,11.9,2024-09-28
2024-09-28 03:00:00,11.1,85,11.7,2024-09-28
2024-09-28 04:00:00,11.1,87,9.7,2024-09-28
2024-09-28 05:00:00,11.1,88,13.7,2024-09-28
2024-09-28 06:00:00,11.0,85,15.8,2024-09-28
2024-09-28 07:00:00,11.0,79,16.2,2024-09-28
2024-09-28 08:00:00,11.8,76,17.9,2024-09-28
2024-09-28 09:00:00,12.6,71,16.6,2024-09-28
2024-09-28 10:00:00,13.3,64,14.9,2024-09-28
2024-09-28 11:00:00,13.7,59,13.7,2024-09-28
2024-09-28 12:00:00,14.1,56,14.2,2024-09-28
2024-09-28 13:00:00,14.2,56,13.0,2024-09-28
2024-09-28 14:00:00,14.3,56,12.4,2024-09-28
2024-09-28 15:00:00,14.0,56,12.1,2024-09-28
2024-09-28 16:00:00,13.3,60,10.3,2024-09-28
2024-09-28 17:00:00,11.9,66,5.6,2024-09-28
2024-09-28 18:00:00,10.6,73,4.4,2024-09-28
2024-09-28 19:00:00,9.8,77,3.8,2024-09-28
2024-09-28 20:00:00,9.0,81,4.0,2024-09-28
2024-09-28 21:00:00,8.4,83,3.8,2024-09-28
2024-09-28 22:00:00,8.0,84,3.5,2024-09-28
2024-09-28 23:00:00,7.5,86,3.4,2024-09-28
2024-09-29 00:00:00,7.0,88,3.1,2024-09-29
2024-09-29 01:00:00,6.5,89,3.1,2024-09-29
2024-09-29 02:00:00,6.1,90,2.5,2024-09-29
2024-09-29 03:00:00,5.7,93,2.2,2024-09-29
2024-09-29 04:00:00,5.2,96,2.2,2024-09-29
2024-09-29 05:00:00,4.6,99,1.6,2024-09-29
2024-09-29 06:00:00,4.4,100,1.9,2024-09-29
2024-09-29 07:00:00,5.9,95,0.7,2024-09-29
2024-09-29 08:00:00,8.2,86,2.6,2024-09-29
2024-09-29 09:00:00,10.2,77,4.4,2024-09-29
2024-09-29 10:00:00,11.7,68,5.2,2024-09-29
2024-09-29 11:00:00,12.9,59,5.2,2024-09-29
2024-09-29 12:00:00,13.8,52,5.5,2024-09-29
2024-09-29 13:00:00,14.3,49,6.8,2024-09-29
2024-09-29 14:00:00,14.4,48,8.6,2024-09-29
2024-09-29 15:00:00,14.1,50,9.4,2024-09-29
2024-09-29 16:00:00,13.1,54,8.3,2024-09-29
2024-09-29 17:00:00,11.6,61,6.1,2024-09-29
2024-09-29 18:00:00,10.4,66,4.7,2024-09-29
2024-09-29 19:00:00,9.7,69,4.3,2024-09-29
2024-09-29 20:00:00,9.2,71,4.3,2024-09-29
2024-09-29 21:00:00,8.9,72,4.7,2024-09-29
2024-09-29 22:00:00,8.7,73,5.1,2024-09-29
2024-09-29 23:00:00,8.7,73,5.8,2024-09-29
2024-09-30 00:00:00,8.6,73,6.2,2024-09-30
2024-09-30 01:00:00,8.4,73,6.6,2024-09-30
2024-09-30 02:00:00,8.1,74,7.4,2024-09-30
2024-09-30 03:00:00,7.9,75,7.5,2024-09-30
2024-09-30 04:00:00,7.7,77,6.8,2024-09-30
2024-09-30 05:00:00,7.6,79,6.0,2024-09-30
2024-09-30 06:00:00,7.7,81,5.4,2024-09-30
2024-09-30 07:00:00,8.2,82,5.6,2024-09-30
2024-09-30 08:00:00,9.0,82,6.2,2024-09-30
2024-09-30 09:00:00,9.8,82,6.6,2024-09-30
2024-09-30 10:00:00,10.8,80,7.4,2024-09-30
2024-09-30 11:00:00,11.9,78,7.7,2024-09-30
2024-09-30 12:00:00,12.8,76,7.4,2024-09-30
2024-09-30 13:00:00,13.6,75,6.7,2024-09-30
2024-09-30 14:00:00,14.3,75,8.8,2024-09-30
2024-09-30 15:00:00,14.7,76,11.7,2024-09-30
2024-09-30 16:00:00,14.8,78,12.3,2024-09-30
2024-09-30 17:00:00,14.5,81,12.0,2024-09-30
2024-09-30 18:00:00,14.3,83,11.8,2024-09-30
2024-09-30 19:00:00,14.3,83,12.0,2024-09-30
2024-09-30 20:00:00,14.2,83,12.7,2024-09-30
2024-09-30 21:00:00,14.1,83,13.0,2024-09-30
2024-09-30 22:00:00,13.9,84,12.7,2024-09-30
2024-09-30 23:00:00,13.7,84,12.0,2024-09-30
2024-10-01 00:00:00,13.5,85,11.5,2024-10-01
2024-10-01 01:00:00,13.2,88,12.0,2024-10-01
2024-10-01 02:00:00,13.2,88,12.1,2024-10-01
2024-10-01 03:00:00,13.1,89,12.1,2024-10-01
2024-10-01 04:00:00,13.0,89,12.3,2024-10-01
2024-10-01 05:00:00,12.8,90,12.5,2024-10-01
2024-10-01 06:00:00,12.9,89,12.5,2024-10-01
2024-10-01 07:00:00,13.2,87,12.9,2024-10-01
2024-10-01 08:00:00,13.8,85,13.5,2024-10-01
2024-10-01 09:00:00,14.2,83,13.9,2024-10-01
2024-10-01 10:00:00,14.5,83,13.9,2024-10-01
2024-10-01 11:00:00,14.6,83,13.2,2024-10-01
2024-10-01 12:00:00,14.5,84,12.2,2024-10-01
2024-10-01 13:00:00,14.3,86,11.1,2024-10-01
2024-10-01 14:00:00,13.9,89,9.2,2024-10-01
2024-10-01 15:00:00,13.5,91,8.1,2024-10-01
2024-10-01 16:00:00,13.2,92,7.3,2024-10-01
2024-10-01 17:00:00,12.9,94,6.5,2024-10-01
2024-10-01 18:00:00,12.7,94,6.3,2024-10-01
2024-10-01 19:00:00,12.6,94,6.3,2024-10-01
2024-10-01 20:00:00,12.5,93,6.7,2024-10-01
2024-10-01 21:00:00,12.4,92,7.3,2024-10-01
2024-10-01 22:00:00,12.2,91,7.6,2024-10-01
2024-10-01 23:00:00,11.9,90,7.9,2024-10-01
2024-10-02 00:00:00,11.5,89,7.8,2024-10-02
2024-10-02 01:00:00,10.8,90,6.8,2024-10-02
2024-10-02 02:00:00,10.0,91,5.4,2024-10-02
2024-10-02 03:00:00,9.4,92,4.5,2024-10-02
2024-10-02 04:00:00,8.8,93,3.9,2024-10-02
