time,temperature_2m,relative_humidity_2m,wind_speed_10m,date
2024-10-01 00:00:00,13.4,91,7.8,2024-10-01
2024-10-01 01:00:00,13.5,89,5.8,2024-10-01
2024-10-01 02:00:00,13.7,87,10.8,2024-10-01
2024-10-01 03:00:00,13.5,89,10.2,2024-10-01
2024-10-01 04:00:00,13.4,89,8.8,2024-10-01
2024-10-01 05:00:00,13.5,88,12.0,2024-10-01
2024-10-01 06:00:00,13.1,92,7.3,2024-10-01
2024-10-01 07:00:00,13.3,89,8.9,2024-10-01
2024-10-01 08:00:00,14.3,84,13.0,2024-10-01
2024-10-01 09:00:00,15.4,71,19.3,2024-10-01
2024-10-01 10:00:00,15.9,66,17.4,2024-10-01
2024-10-01 11:00:00,16.4,63,16.2,2024-10-01
2024-10-01 12:00:00,16.5,64,17.2,2024-10-01
2024-10-01 13:00:00,17.1,55,15.0,2024-10-01
2024-10-01 14:00:00,16.4,60,14.8,2024-10-01
2024-10-01 15:00:00,16.3,63,11.3,2024-10-01
2024-10-01 16:00:00,15.6,67,7.4,2024-10-01
2024-10-01 17:00:00,14.1,75,3.3,2024-10-01
2024-10-01 18:00:00,12.6,86,3.8,2024-10-01
2024-10-01 19:00:00,11.7,89,1.8,2024-10-01
2024-10-01 20:00:00,11.1,91,1.1,2024-10-01
2024-10-01 21:00:00,10.5,93,2.5,2024-10-01
2024-10-01 22:00:00,10.0,96,1.8,2024-10-01
2024-10-01 23:00:00,10.3,94,2.1,2024-10-01
2024-10-02 00:00:00,10.4,95,3.5,2024-10-02
2024-10-02 01:00:00,10.5,97,1.1,2024-10-02
2024-10-02 02:00:00,10.6,97,1.5,2024-10-02
2024-10-02 03:00:00,10.7,95,2.6,2024-10-02
2024-10-02 04:00:00,10.7,95,3.5,2024-10-02
2024-10-02 05:00:00,10.8,94,2.1,2024-10-02
2024-10-02 06:00:00,10.8,95,1.1,2024-10-02
2024-10-02 07:00:00,11.0,93,3.1,2024-10-02
2024-10-02 08:00:00,10.9,94,2.8,2024-10-02
2024-10-02 09:00:00,11.5,91,3.3,2024-10-02
2024-10-02 10:00:00,12.2,88,5.8,2024-10-02
2024-10-02 11:00:00,13.3,83,7.6,2024-10-02
2024-10-02 12:00:00,13.7,81,9.5,2024-10-02
2024-10-02 13:00:00,13.8,79,9.7,2024-10-02
2024-10-02 14:00:00,13.5,84,9.4,2024-10-02
2024-10-02 15:00:00,14.0,79,8.9,2024-10-02
