time,temperature_2m,relative_humidity_2m,wind_speed_10m,date
2024-10-11 00:00:00,11.0,97,4.4,2024-10-11
2024-10-11 01:00:00,11.1,95,5.1,2024-10-11
2024-10-11 02:00:00,10.9,94,4.0,2024-10-11
2024-10-11 03:00:00,11.1,96,7.6,2024-10-11
2024-10-11 04:00:00,10.3,87,9.6,2024-10-11
2024-10-11 05:00:00,9.6,89,12.0,2024-10-11
2024-10-11 06:00:00,9.0,91,10.0,2024-10-11
2024-10-11 07:00:00,9.2,89,5.6,2024-10-11
2024-10-11 08:00:00,9.9,84,8.4,2024-10-11
2024-10-11 09:00:00,11.0,74,9.2,2024-10-11
2024-10-11 10:00:00,11.4,75,8.9,2024-10-11
2024-10-11 11:00:00,12.0,70,9.8,2024-10-11
2024-10-11 12:00:00,12.4,65,9.5,2024-10-11
2024-10-11 13:00:00,12.4,64,8.9,2024-10-11
2024-10-11 14:00:00,12.4,69,7.9,2024-10-11
2024-10-11 15:00:00,12.1,65,5.2,2024-10-11
2024-10-11 16:00:00,11.3,72,6.0,2024-10-11
2024-10-11 17:00:00,10.1,83,2.5,2024-10-11
2024-10-11 18:00:00,8.9,88,1.8,2024-10-11
2024-10-11 19:00:00,7.0,94,2.9,2024-10-11
2024-10-11 20:00:00,5.9,98,2.2,2024-10-11
2024-10-11 21:00:00,5.2,100,2.5,2024-10-11
2024-10-11 22:00:00,4.6,100,1.4,2024-10-11
2024-10-11 23:00:00,4.4,100,1.1,2024-10-11
2024-10-12 00:00:00,4.1,100,1.1,2024-10-12
2024-10-12 01:00:00,3.9,100,1.1,2024-10-12
2024-10-12 02:00:00,3.6,100,0.7,2024-10-12
2024-10-12 03:00:00,3.3,100,1.5,2024-10-12
2024-10-12 04:00:00,3.0,99,1.8,2024-10-12
2024-10-12 05:00:00,2.9,99,1.8,2024-10-12
2024-10-12 06:00:00,2.7,99,1.8,2024-10-12
2024-10-12 07:00:00,3.7,97,1.1,2024-10-12
2024-10-12 08:00:00,6.8,88,1.4,2024-10-12
2024-10-12 09:00:00,9.5,80,6.7,2024-10-12
2024-10-12 10:00:00,11.0,77,8.6,2024-10-12
2024-10-12 11:00:00,12.9,70,10.0,2024-10-12
2024-10-12 12:00:00,13.5,69,10.9,2024-10-12
2024-10-12 13:00:00,14.1,68,11.0,2024-10-12
2024-10-12 14:00:00,14.0,69,9.2,2024-10-12
2024-10-12 15:00:00,13.5,73,6.0,2024-10-12
2024-10-12 16:00:00,12.8,80,4.5,2024-10-12
2024-10-12 17:00:00,11.9,89,4.7,2024-10-12
2024-10-12 18:00:00,11.7,90,4.4,2024-10-12
2024-10-12 19:00:00,11.5,90,4.7,2024-10-12
2024-10-12 20:00:00,11.5,91,5.5,2024-10-12
2024-10-12 21:00:00,11.4,93,4.9,2024-10-12
2024-10-12 22:00:00,11.4,95,6.1,2024-10-12
2024-10-12 23:00:00,11.7,93,10.1,2024-10-12
2024-10-13 00:00:00,12.4,91,13.6,2024-10-13
2024-10-13 01:00:00,12.7,90,10.8,2024-10-13
2024-10-13 02:00:00,12.8,87,12.4,2024-10-13
2024-10-13 03:00:00,12.6,84,16.6,2024-10-13
2024-10-13 04:00:00,12.0,83,14.8,2024-10-13
2024-10-13 05:00:00,11.3,78,18.8,2024-10-13
2024-10-13 06:00:00,9.4,68,18.4,2024-10-13
2024-10-13 07:00:00,10.4,79,19.1,2024-10-13
2024-10-13 08:00:00,10.4,75,18.7,2024-10-13
2024-10-13 09:00:00,10.3,70,19.6,2024-10-13
2024-10-13 10:00:00,10.5,67,19.2,2024-10-13
2024-10-13 11:00:00,10.9,66,18.4,2024-10-13
2024-10-13 12:00:00,11.2,68,15.9,2024-10-13
2024-10-13 13:00:00,11.1,69,15.1,2024-10-13
2024-10-13 14:00:00,11.2,70,15.5,2024-10-13
2024-10-13 15:00:00,10.7,71,13.8,2024-10-13
2024-10-13 16:00:00,10.0,77,11.3,2024-10-13
2024-10-13 17:00:00,9.1,82,7.1,2024-10-13
2024-10-13 18:00:00,8.3,86,6.2,2024-10-13
2024-10-13 19:00:00,8.1,85,4.1,2024-10-13
2024-10-13 20:00:00,7.6,86,3.3,2024-10-13
2024-10-13 21:00:00,6.9,87,3.3,2024-10-13
2024-10-13 22:00:00,6.4,87,2.1,2024-10-13
2024-10-13 23:00:00,5.9,88,3.4,2024-10-13
2024-10-14 00:00:00,5.4,90,2.8,2024-10-14
2024-10-14 01:00:00,4.9,91,3.1,2024-10-14
2024-10-14 02:00:00,4.4,92,2.2,2024-10-14
2024-10-14 03:00:00,4.1,94,3.3,2024-10-14
2024-10-14 04:00:00,3.6,97,4.0,2024-10-14
2024-10-14 05:00:00,3.4,98,3.7,2024-10-14
2024-10-14 06:00:00,3.4,96,2.9,2024-10-14
2024-10-14 07:00:00,4.7,91,4.7,2024-10-14
2024-10-14 08:00:00,6.5,85,7.2,2024-10-14
