time,temperature_2m,relative_humidity_2m,wind_speed_10m,date
2024-09-19 00:00:00,16.9,71,11.8,2024-09-19
2024-09-19 01:00:00,16.4,72,10.9,2024-09-19
2024-09-19 02:00:00,15.7,74,9.9,2024-09-19
2024-09-19 03:00:00,15.1,78,10.9,2024-09-19
2024-09-19 04:00:00,14.8,80,10.4,2024-09-19
2024-09-19 05:00:00,14.5,81,10.2,2024-09-19
2024-09-19 06:00:00,14.7,80,10.5,2024-09-19
2024-09-19 07:00:00,16.4,71,14.1,2024-09-19
2024-09-19 08:00:00,18.2,66,15.7,2024-09-19
2024-09-19 09:00:00,20.4,58,17.4,2024-09-19
2024-09-19 10:00:00,21.9,49,19.2,2024-09-19
2024-09-19 11:00:00,22.6,47,19.7,2024-09-19
2024-09-19 12:00:00,23.3,41,19.8,2024-09-19
2024-09-19 13:00:00,23.8,37,18.7,2024-09-19
2024-09-19 14:00:00,23.4,39,18.2,2024-09-19
2024-09-19 15:00:00,22.9,41,17.3,2024-09-19
2024-09-19 16:00:00,22.3,41,16.1,2024-09-19
2024-09-19 17:00:00,21.0,46,10.1,2024-09-19
2024-09-19 18:00:00,19.2,53,9.1,2024-09-19
2024-09-19 19:00:00,18.0,58,8.6,2024-09-19
2024-09-19 20:00:00,16.7,65,8.7,2024-09-19
2024-09-19 21:00:00,15.9,74,7.2,2024-09-19
2024-09-19 22:00:00,15.3,78,6.6,2024-09-19
2024-09-19 23:00:00,14.7,76,4.8,2024-09-19
2024-09-20 00:00:00,14.1,78,4.0,2024-09-20
2024-09-20 01:00:00,13.5,79,4.3,2024-09-20
2024-09-20 02:00:00,13.0,82,4.2,2024-09-20
2024-09-20 03:00:00,12.5,85,3.9,2024-09-20
2024-09-20 04:00:00,12.1,87,3.9,2024-09-20
2024-09-20 05:00:00,11.8,88,4.1,2024-09-20
2024-09-20 06:00:00,11.9,88,3.9,2024-09-20
2024-09-20 07:00:00,13.5,80,4.8,2024-09-20
2024-09-20 08:00:00,16.1,69,9.3,2024-09-20
2024-09-20 09:00:00,18.2,63,10.6,2024-09-20
2024-09-20 10:00:00,20.4,53,12.7,2024-09-20
2024-09-20 11:00:00,22.0,47,14.6,2024-09-20
2024-09-20 12:00:00,23.0,45,14.3,2024-09-20
2024-09-20 13:00:00,23.5,43,15.2,2024-09-20
2024-09-20 14:00:00,23.4,45,14.9,2024-09-20
2024-09-20 15:00:00,23.2,44,14.3,2024-09-20
2024-09-20 16:00:00,22.4,45,12.6,2024-09-20
2024-09-20 17:00:00,21.0,51,8.8,2024-09-20
2024-09-20 18:00:00,19.2,60,6.3,2024-09-20
2024-09-20 19:00:00,17.8,64,6.9,2024-09-20
2024-09-20 20:00:00,16.9,68,3.8,2024-09-20
2024-09-20 21:00:00,15.7,74,3.4,2024-09-20
2024-09-20 22:00:00,14.8,78,3.3,2024-09-20
2024-09-20 23:00:00,13.9,81,3.1,2024-09-20
2024-09-21 00:00:00,13.1,85,3.3,2024-09-21
2024-09-21 01:00:00,12.3,87,2.9,2024-09-21
2024-09-21 02:00:00,11.7,90,2.3,2024-09-21
2024-09-21 03:00:00,11.1,92,2.4,2024-09-21
2024-09-21 04:00:00,10.7,93,2.3,2024-09-21
2024-09-21 05:00:00,10.3,93,2.4,2024-09-21
2024-09-21 06:00:00,10.2,94,1.6,2024-09-21
2024-09-21 07:00:00,12.3,85,1.0,2024-09-21
2024-09-21 08:00:00,15.0,73,2.0,2024-09-21
2024-09-21 09:00:00,17.5,64,4.3,2024-09-21
2024-09-21 10:00:00,19.0,61,6.9,2024-09-21
2024-09-21 11:00:00,20.2,60,6.8,2024-09-21
2024-09-21 12:00:00,21.2,58,7.6,2024-09-21
2024-09-21 13:00:00,22.0,56,7.2,2024-09-21
2024-09-21 14:00:00,22.3,56,6.8,2024-09-21
2024-09-21 15:00:00,22.2,57,6.8,2024-09-21
2024-09-21 16:00:00,21.6,59,5.8,2024-09-21
2024-09-21 17:00:00,20.2,67,3.0,2024-09-21
2024-09-21 18:00:00,18.8,73,2.8,2024-09-21
2024-09-21 19:00:00,17.8,75,2.8,2024-09-21
2024-09-21 20:00:00,17.0,77,2.5,2024-09-21
2024-09-21 21:00:00,16.4,77,2.3,2024-09-21
2024-09-21 22:00:00,15.8,79,2.6,2024-09-21
2024-09-21 23:00:00,15.2,81,2.4,2024-09-21
2024-09-22 00:00:00,14.6,84,1.9,2024-09-22
2024-09-22 01:00:00,14.0,87,2.1,2024-09-22
2024-09-22 02:00:00,13.2,90,1.8,2024-09-22
2024-09-22 03:00:00,12.4,95,1.6,2024-09-22
2024-09-22 04:00:00,12.0,100,2.4,2024-09-22
2024-09-22 05:00:00,11.3,100,2.5,2024-09-22
2024-09-22 06:00:00,11.1,100,0.7,2024-09-22
2024-09-22 07:00:00,11.5,100,0.8,2024-09-22
2024-09-22 08:00:00,13.4,97,0.4,2024-09-22
2024-09-22 09:00:00,17.0,81,2.9,2024-09-22
2024-09-22 10:00:00,19.3,72,3.8,2024-09-22
2024-09-22 11:00:00,20.9,65,4.9,2024-09-22
2024-09-22 12:00:00,21.9,59,4.9,2024-09-22
2024-09-22 13:00:00,22.6,56,5.4,2024-09-22
2024-09-22 14:00:00,22.9,55,6.2,2024-09-22
2024-09-22 15:00:00,22.6,56,6.6,2024-09-22
2024-09-22 16:00:00,21.6,61,5.7,2024-09-22
2024-09-22 17:00:00,20.1,67,4.2,2024-09-22
2024-09-22 18:00:00,18.8,73,3.2,2024-09-22
2024-09-22 19:00:00,17.9,76,2.9,2024-09-22
2024-09-22 20:00:00,17.2,78,3.1,2024-09-22
2024-09-22 21:00:00,16.6,79,3.1,2024-09-22
2024-09-22 22:00:00,16.3,80,3.1,2024-09-22
2024-09-22 23:00:00,16.0,82,2.8,2024-09-22
2024-09-23 00:00:00,15.7,83,2.8,2024-09-23
2024-09-23 01:00:00,15.3,84,2.8,2024-09-23
2024-09-23 02:00:00,14.8,86,3.1,2024-09-23
2024-09-23 03:00:00,14.2,88,2.9,2024-09-23
2024-09-23 04:00:00,13.5,92,2.4,2024-09-23
2024-09-23 05:00:00,12.7,97,1.9,2024-09-23
2024-09-23 06:00:00,12.7,99,1.4,2024-09-23
2024-09-23 07:00:00,13.9,95,1.3,2024-09-23
2024-09-23 08:00:00,15.8,87,1.8,2024-09-23
2024-09-23 09:00:00,17.5,81,1.8,2024-09-23
