time,temperature_2m,relative_humidity_2m,wind_speed_10m,date
2024-10-05 00:00:00,9.7,88,5.0,2024-10-05
2024-10-05 01:00:00,9.6,89,4.5,2024-10-05
2024-10-05 02:00:00,9.3,89,4.7,2024-10-05
2024-10-05 03:00:00,9.4,89,5.0,2024-10-05
2024-10-05 04:00:00,9.3,89,4.2,2024-10-05
2024-10-05 05:00:00,9.3,90,4.1,2024-10-05
2024-10-05 06:00:00,9.2,93,3.2,2024-10-05
2024-10-05 07:00:00,9.8,90,4.5,2024-10-05
2024-10-05 08:00:00,11.0,84,9.3,2024-10-05
2024-10-05 09:00:00,11.8,79,11.0,2024-10-05
2024-10-05 10:00:00,12.2,76,10.2,2024-10-05
2024-10-05 11:00:00,12.5,72,10.8,2024-10-05
2024-10-05 12:00:00,12.5,70,9.3,2024-10-05
2024-10-05 13:00:00,12.4,71,9.5,2024-10-05
2024-10-05 14:00:00,12.2,72,9.2,2024-10-05
2024-10-05 15:00:00,11.9,76,8.1,2024-10-05
2024-10-05 16:00:00,11.6,82,6.6,2024-10-05
2024-10-05 17:00:00,11.0,80,4.6,2024-10-05
2024-10-05 18:00:00,10.5,86,2.8,2024-10-05
2024-10-05 19:00:00,9.5,90,3.8,2024-10-05
2024-10-05 20:00:00,8.7,90,4.8,2024-10-05
2024-10-05 21:00:00,8.0,92,2.6,2024-10-05
2024-10-05 22:00:00,7.2,96,3.1,2024-10-05
2024-10-05 23:00:00,6.5,96,3.2,2024-10-05
2024-10-06 00:00:00,6.2,96,1.5,2024-10-06
2024-10-06 01:00:00,5.5,98,3.6,2024-10-06
2024-10-06 02:00:00,5.2,98,2.3,2024-10-06
2024-10-06 03:00:00,4.9,99,1.3,2024-10-06
2024-10-06 04:00:00,4.4,100,4.4,2024-10-06
2024-10-06 05:00:00,4.0,100,1.5,2024-10-06
2024-10-06 06:00:00,4.5,99,1.5,2024-10-06
2024-10-06 07:00:00,5.7,96,4.0,2024-10-06
2024-10-06 08:00:00,7.3,93,7.5,2024-10-06
2024-10-06 09:00:00,8.1,91,7.7,2024-10-06
2024-10-06 10:00:00,9.4,85,8.1,2024-10-06
2024-10-06 11:00:00,10.8,79,8.5,2024-10-06
2024-10-06 12:00:00,11.7,78,9.5,2024-10-06
2024-10-06 13:00:00,12.5,75,9.2,2024-10-06
2024-10-06 14:00:00,13.0,73,10.9,2024-10-06
2024-10-06 15:00:00,13.1,74,9.7,2024-10-06
2024-10-06 16:00:00,12.8,77,6.6,2024-10-06
2024-10-06 17:00:00,11.7,83,5.8,2024-10-06
2024-10-06 18:00:00,10.3,87,5.6,2024-10-06
2024-10-06 19:00:00,9.2,90,4.1,2024-10-06
2024-10-06 20:00:00,8.4,93,3.3,2024-10-06
2024-10-06 21:00:00,7.9,94,2.7,2024-10-06
2024-10-06 22:00:00,7.5,96,3.1,2024-10-06
2024-10-06 23:00:00,7.8,95,2.9,2024-10-06
2024-10-07 00:00:00,8.2,94,1.3,2024-10-07
2024-10-07 01:00:00,8.4,94,2.6,2024-10-07
2024-10-07 02:00:00,8.5,94,0.8,2024-10-07
2024-10-07 03:00:00,8.7,95,0.8,2024-10-07
2024-10-07 04:00:00,9.0,94,1.1,2024-10-07
2024-10-07 05:00:00,9.1,95,2.3,2024-10-07
2024-10-07 06:00:00,9.4,94,2.3,2024-10-07
2024-10-07 07:00:00,10.3,87,2.4,2024-10-07
2024-10-07 08:00:00,11.4,82,3.3,2024-10-07
2024-10-07 09:00:00,12.5,81,4.4,2024-10-07
2024-10-07 10:00:00,14.1,78,3.9,2024-10-07
2024-10-07 11:00:00,15.6,77,6.1,2024-10-07
2024-10-07 12:00:00,16.3,78,4.3,2024-10-07
2024-10-07 13:00:00,17.4,79,5.2,2024-10-07
2024-10-07 14:00:00,18.3,79,8.4,2024-10-07
2024-10-07 15:00:00,18.6,77,8.5,2024-10-07
2024-10-07 16:00:00,17.8,82,4.9,2024-10-07
2024-10-07 17:00:00,16.9,87,6.4,2024-10-07
2024-10-07 18:00:00,16.0,89,4.8,2024-10-07
2024-10-07 19:00:00,15.4,91,4.5,2024-10-07
2024-10-07 20:00:00,15.2,91,5.5,2024-10-07
2024-10-07 21:00:00,15.0,92,5.9,2024-10-07
2024-10-07 22:00:00,15.1,92,4.6,2024-10-07
2024-10-07 23:00:00,14.9,93,3.1,2024-10-07
2024-10-08 00:00:00,14.9,93,4.6,2024-10-08
2024-10-08 01:00:00,14.8,91,4.3,2024-10-08
2024-10-08 02:00:00,14.4,90,3.8,2024-10-08
2024-10-08 03:00:00,14.0,87,4.4,2024-10-08
2024-10-08 04:00:00,13.5,87,4.0,2024-10-08
2024-10-08 05:00:00,13.0,87,3.4,2024-10-08
2024-10-08 06:00:00,12.5,89,4.1,2024-10-08
2024-10-08 07:00:00,13.2,87,5.3,2024-10-08
2024-10-08 08:00:00,14.3,83,7.3,2024-10-08
2024-10-08 09:00:00,15.6,80,9.3,2024-10-08
2024-10-08 10:00:00,16.9,77,11.1,2024-10-08
2024-10-08 11:00:00,18.3,75,12.8,2024-10-08
