time,temperature_2m,relative_humidity_2m,wind_speed_10m,date
2024-09-12 00:00:00,9.3,92,4.0,2024-09-12
2024-09-12 01:00:00,9.2,92,4.6,2024-09-12
2024-09-12 02:00:00,8.8,93,4.8,2024-09-12
2024-09-12 03:00:00,8.6,93,4.1,2024-09-12
2024-09-12 04:00:00,8.5,92,6.0,2024-09-12
2024-09-12 05:00:00,8.3,92,4.8,2024-09-12
2024-09-12 06:00:00,8.5,92,3.4,2024-09-12
2024-09-12 07:00:00,9.8,83,7.8,2024-09-12
2024-09-12 08:00:00,11.3,73,10.2,2024-09-12
2024-09-12 09:00:00,12.0,74,4.1,2024-09-12
2024-09-12 10:00:00,11.8,81,9.1,2024-09-12
2024-09-12 11:00:00,12.9,70,9.7,2024-09-12
2024-09-12 12:00:00,13.3,64,7.6,2024-09-12
2024-09-12 13:00:00,13.0,70,6.1,2024-09-12
2024-09-12 14:00:00,14.3,64,4.1,2024-09-12
2024-09-12 15:00:00,14.6,57,8.7,2024-09-12
2024-09-12 16:00:00,13.9,57,11.8,2024-09-12
2024-09-12 17:00:00,12.9,55,4.8,2024-09-12
2024-09-12 18:00:00,12.0,61,3.8,2024-09-12
2024-09-12 19:00:00,10.6,73,3.2,2024-09-12
2024-09-12 20:00:00,10.0,75,2.1,2024-09-12
2024-09-12 21:00:00,9.6,76,2.2,2024-09-12
2024-09-12 22:00:00,9.1,80,1.5,2024-09-12
2024-09-12 23:00:00,8.7,87,3.5,2024-09-12
2024-09-13 00:00:00,8.5,88,2.9,2024-09-13
2024-09-13 01:00:00,7.9,90,2.8,2024-09-13
2024-09-13 02:00:00,7.7,90,3.3,2024-09-13
2024-09-13 03:00:00,7.7,86,3.9,2024-09-13
2024-09-13 04:00:00,7.6,84,4.2,2024-09-13
2024-09-13 05:00:00,7.2,84,4.3,2024-09-13
2024-09-13 06:00:00,7.5,83,4.8,2024-09-13
2024-09-13 07:00:00,9.1,78,6.4,2024-09-13
2024-09-13 08:00:00,10.9,73,9.2,2024-09-13
2024-09-13 09:00:00,12.7,67,11.0,2024-09-13
2024-09-13 10:00:00,13.7,62,13.2,2024-09-13
2024-09-13 11:00:00,14.1,55,13.7,2024-09-13
2024-09-13 12:00:00,15.3,48,15.1,2024-09-13
2024-09-13 13:00:00,15.0,53,17.2,2024-09-13
2024-09-13 14:00:00,15.1,51,17.2,2024-09-13
2024-09-13 15:00:00,14.8,54,17.0,2024-09-13
2024-09-13 16:00:00,14.4,55,15.1,2024-09-13
2024-09-13 17:00:00,13.2,63,15.2,2024-09-13
2024-09-13 18:00:00,12.4,72,11.3,2024-09-13
2024-09-13 19:00:00,11.7,80,8.7,2024-09-13
2024-09-13 20:00:00,11.5,81,11.2,2024-09-13
2024-09-13 21:00:00,11.3,80,11.5,2024-09-13
2024-09-13 22:00:00,10.9,77,11.3,2024-09-13
2024-09-13 23:00:00,10.3,79,12.0,2024-09-13
2024-09-14 00:00:00,9.9,80,12.2,2024-09-14
2024-09-14 01:00:00,9.5,84,13.0,2024-09-14
2024-09-14 02:00:00,9.2,82,12.8,2024-09-14
2024-09-14 03:00:00,9.0,82,12.8,2024-09-14
2024-09-14 04:00:00,8.8,85,12.6,2024-09-14
2024-09-14 05:00:00,8.6,83,12.8,2024-09-14
2024-09-14 06:00:00,8.8,80,14.0,2024-09-14
2024-09-14 07:00:00,9.7,74,15.3,2024-09-14
2024-09-14 08:00:00,10.9,65,16.8,2024-09-14
2024-09-14 09:00:00,12.0,58,18.4,2024-09-14
2024-09-14 10:00:00,12.9,55,17.4,2024-09-14
2024-09-14 11:00:00,14.2,51,17.4,2024-09-14
2024-09-14 12:00:00,15.4,47,18.1,2024-09-14
2024-09-14 13:00:00,15.6,49,18.8,2024-09-14
2024-09-14 14:00:00,15.5,49,20.0,2024-09-14
2024-09-14 15:00:00,15.4,49,19.3,2024-09-14
2024-09-14 16:00:00,14.5,55,11.9,2024-09-14
2024-09-14 17:00:00,13.5,60,10.0,2024-09-14
2024-09-14 18:00:00,12.2,68,7.1,2024-09-14
2024-09-14 19:00:00,11.3,72,6.6,2024-09-14
2024-09-14 20:00:00,10.5,77,6.5,2024-09-14
2024-09-14 21:00:00,9.9,80,6.0,2024-09-14
2024-09-14 22:00:00,9.4,81,5.8,2024-09-14
2024-09-14 23:00:00,9.2,82,5.3,2024-09-14
2024-09-15 00:00:00,8.9,82,5.5,2024-09-15
2024-09-15 01:00:00,8.5,83,5.0,2024-09-15
2024-09-15 02:00:00,8.3,82,5.2,2024-09-15
2024-09-15 03:00:00,8.0,83,4.6,2024-09-15
2024-09-15 04:00:00,7.7,83,4.6,2024-09-15
2024-09-15 05:00:00,7.4,84,4.6,2024-09-15
2024-09-15 06:00:00,7.8,83,4.7,2024-09-15
2024-09-15 07:00:00,9.8,77,7.6,2024-09-15
2024-09-15 08:00:00,11.2,72,11.0,2024-09-15
2024-09-15 09:00:00,12.6,70,11.0,2024-09-15
2024-09-15 10:00:00,14.0,64,11.5,2024-09-15
2024-09-15 11:00:00,13.9,62,12.9,2024-09-15
2024-09-15 12:00:00,14.7,59,12.1,2024-09-15
2024-09-15 13:00:00,15.2,58,12.6,2024-09-15
2024-09-15 14:00:00,15.4,56,13.7,2024-09-15
2024-09-15 15:00:00,15.2,57,14.7,2024-09-15
2024-09-15 16:00:00,14.8,59,12.3,2024-09-15
2024-09-15 17:00:00,13.8,64,8.7,2024-09-15
2024-09-15 18:00:00,12.5,69,4.1,2024-09-15
2024-09-15 19:00:00,11.8,73,3.2,2024-09-15
2024-09-15 20:00:00,11.3,77,3.8,2024-09-15
2024-09-15 21:00:00,10.8,80,4.1,2024-09-15
2024-09-15 22:00:00,10.4,82,4.1,2024-09-15
2024-09-15 23:00:00,10.2,84,3.9,2024-09-15
2024-09-16 00:00:00,9.9,85,3.5,2024-09-16
2024-09-16 01:00:00,9.6,85,3.5,2024-09-16
2024-09-16 02:00:00,9.3,85,3.2,2024-09-16
2024-09-16 03:00:00,9.2,85,3.2,2024-09-16
2024-09-16 04:00:00,9.2,85,3.1,2024-09-16
2024-09-16 05:00:00,9.4,86,2.7,2024-09-16
2024-09-16 06:00:00,9.8,85,2.7,2024-09-16
2024-09-16 07:00:00,10.5,83,2.9,2024-09-16
2024-09-16 08:00:00,11.2,80,3.8,2024-09-16
2024-09-16 09:00:00,11.9,77,4.6,2024-09-16
