time,temperature_2m,relative_humidity_2m,wind_speed_10m,date
2024-09-13 00:00:00,7.4,98,2.0,2024-09-13
2024-09-13 01:00:00,6.9,97,3.6,2024-09-13
2024-09-13 02:00:00,6.6,99,4.8,2024-09-13
2024-09-13 03:00:00,6.6,99,3.4,2024-09-13
2024-09-13 04:00:00,6.5,95,3.8,2024-09-13
2024-09-13 05:00:00,6.3,94,3.4,2024-09-13
2024-09-13 06:00:00,6.3,94,3.3,2024-09-13
2024-09-13 07:00:00,8.1,88,5.4,2024-09-13
2024-09-13 08:00:00,10.2,80,9.9,2024-09-13
2024-09-13 09:00:00,11.8,74,10.1,2024-09-13
2024-09-13 10:00:00,12.8,69,12.2,2024-09-13
2024-09-13 11:00:00,13.3,63,15.0,2024-09-13
2024-09-13 12:00:00,14.2,57,14.2,2024-09-13
2024-09-13 13:00:00,14.6,54,15.5,2024-09-13
2024-09-13 14:00:00,14.3,56,16.0,2024-09-13
2024-09-13 15:00:00,14.2,57,15.8,2024-09-13
2024-09-13 16:00:00,13.8,61,12.1,2024-09-13
2024-09-13 17:00:00,13.1,66,11.3,2024-09-13
2024-09-13 18:00:00,12.2,74,11.9,2024-09-13
2024-09-13 19:00:00,11.7,78,10.6,2024-09-13
2024-09-13 20:00:00,11.4,80,10.5,2024-09-13
2024-09-13 21:00:00,11.0,83,12.7,2024-09-13
2024-09-13 22:00:00,10.7,82,12.7,2024-09-13
2024-09-13 23:00:00,10.1,83,12.7,2024-09-13
2024-09-14 00:00:00,9.8,86,12.7,2024-09-14
2024-09-14 01:00:00,9.5,83,14.8,2024-09-14
2024-09-14 02:00:00,9.4,81,15.0,2024-09-14
2024-09-14 03:00:00,9.1,81,14.3,2024-09-14
2024-09-14 04:00:00,9.0,80,14.1,2024-09-14
2024-09-14 05:00:00,8.9,79,13.8,2024-09-14
2024-09-14 06:00:00,9.0,77,13.6,2024-09-14
2024-09-14 07:00:00,9.7,73,15.4,2024-09-14
2024-09-14 08:00:00,10.9,67,16.5,2024-09-14
2024-09-14 09:00:00,12.4,60,18.6,2024-09-14
2024-09-14 10:00:00,13.5,57,18.7,2024-09-14
2024-09-14 11:00:00,14.2,56,17.1,2024-09-14
2024-09-14 12:00:00,14.5,55,16.4,2024-09-14
2024-09-14 13:00:00,15.0,54,16.5,2024-09-14
2024-09-14 14:00:00,15.7,50,16.6,2024-09-14
2024-09-14 15:00:00,15.7,49,15.6,2024-09-14
2024-09-14 16:00:00,15.0,53,14.2,2024-09-14
2024-09-14 17:00:00,13.7,56,11.0,2024-09-14
2024-09-14 18:00:00,12.1,64,7.4,2024-09-14
2024-09-14 19:00:00,10.9,71,5.4,2024-09-14
2024-09-14 20:00:00,9.7,77,5.2,2024-09-14
2024-09-14 21:00:00,9.3,77,5.9,2024-09-14
2024-09-14 22:00:00,8.9,80,4.7,2024-09-14
2024-09-14 23:00:00,8.2,85,4.2,2024-09-14
2024-09-15 00:00:00,7.7,88,3.4,2024-09-15
2024-09-15 01:00:00,7.2,90,3.6,2024-09-15
2024-09-15 02:00:00,6.7,93,3.4,2024-09-15
2024-09-15 03:00:00,6.4,94,3.3,2024-09-15
2024-09-15 04:00:00,6.1,95,3.6,2024-09-15
2024-09-15 05:00:00,5.9,96,3.6,2024-09-15
2024-09-15 06:00:00,6.7,93,4.1,2024-09-15
2024-09-15 07:00:00,10.0,78,7.6,2024-09-15
2024-09-15 08:00:00,11.8,72,11.0,2024-09-15
2024-09-15 09:00:00,12.9,66,12.2,2024-09-15
2024-09-15 10:00:00,13.8,62,11.4,2024-09-15
2024-09-15 11:00:00,14.6,58,10.8,2024-09-15
2024-09-15 12:00:00,15.2,56,11.0,2024-09-15
2024-09-15 13:00:00,15.9,51,11.8,2024-09-15
2024-09-15 14:00:00,16.0,50,13.5,2024-09-15
2024-09-15 15:00:00,15.8,53,12.4,2024-09-15
2024-09-15 16:00:00,15.5,55,11.4,2024-09-15
2024-09-15 17:00:00,14.2,62,5.9,2024-09-15
2024-09-15 18:00:00,12.7,68,4.2,2024-09-15
2024-09-15 19:00:00,11.7,72,3.3,2024-09-15
2024-09-15 20:00:00,11.0,75,3.7,2024-09-15
2024-09-15 21:00:00,10.4,79,3.6,2024-09-15
2024-09-15 22:00:00,10.0,81,3.3,2024-09-15
2024-09-15 23:00:00,9.8,83,3.2,2024-09-15
2024-09-16 00:00:00,9.8,85,3.3,2024-09-16
2024-09-16 01:00:00,9.8,86,3.7,2024-09-16
2024-09-16 02:00:00,9.8,85,3.7,2024-09-16
2024-09-16 03:00:00,9.7,86,3.2,2024-09-16
2024-09-16 04:00:00,9.4,88,3.6,2024-09-16
2024-09-16 05:00:00,9.4,88,3.6,2024-09-16
2024-09-16 06:00:00,10.2,86,4.9,2024-09-16
2024-09-16 07:00:00,11.1,84,5.8,2024-09-16
2024-09-16 08:00:00,12.3,81,7.3,2024-09-16
2024-09-16 09:00:00,13.4,79,8.6,2024-09-16
2024-09-16 10:00:00,14.1,78,9.1,2024-09-16
2024-09-16 11:00:00,14.6,77,9.4,2024-09-16
2024-09-16 12:00:00,14.9,77,9.8,2024-09-16
2024-09-16 13:00:00,15.2,77,10.1,2024-09-16
2024-09-16 14:00:00,15.2,76,10.5,2024-09-16
2024-09-16 15:00:00,15.1,77,10.5,2024-09-16
2024-09-16 16:00:00,14.7,79,9.7,2024-09-16
