time,temperature_2m,relative_humidity_2m,wind_speed_10m,date
2024-09-28 00:00:00,11.5,82,12.6,2024-09-28
2024-09-28 01:00:00,11.7,83,10.8,2024-09-28
2024-09-28 02:00:00,11.7,85,9.9,2024-09-28
2024-09-28 03:00:00,11.3,88,8.4,2024-09-28
2024-09-28 04:00:00,11.4,87,8.6,2024-09-28
2024-09-28 05:00:00,11.1,91,8.0,2024-09-28
2024-09-28 06:00:00,11.0,92,5.9,2024-09-28
2024-09-28 07:00:00,11.4,87,9.3,2024-09-28
2024-09-28 08:00:00,12.2,78,13.3,2024-09-28
2024-09-28 09:00:00,12.5,72,15.1,2024-09-28
2024-09-28 10:00:00,12.8,68,14.8,2024-09-28
2024-09-28 11:00:00,13.3,66,15.9,2024-09-28
2024-09-28 12:00:00,13.7,61,14.7,2024-09-28
2024-09-28 13:00:00,14.6,59,16.0,2024-09-28
2024-09-28 14:00:00,14.0,60,14.4,2024-09-28
2024-09-28 15:00:00,13.8,58,15.0,2024-09-28
2024-09-28 16:00:00,13.2,62,14.1,2024-09-28
2024-09-28 17:00:00,12.0,68,9.9,2024-09-28
2024-09-28 18:00:00,11.0,72,7.4,2024-09-28
2024-09-28 19:00:00,10.1,77,5.4,2024-09-28
2024-09-28 20:00:00,9.3,78,4.7,2024-09-28
2024-09-28 21:00:00,8.9,80,3.6,2024-09-28
2024-09-28 22:00:00,8.0,84,2.9,2024-09-28
2024-09-28 23:00:00,7.2,89,2.6,2024-09-28
2024-09-29 00:00:00,6.7,92,2.6,2024-09-29
2024-09-29 01:00:00,6.3,94,2.6,2024-09-29
2024-09-29 02:00:00,5.8,96,1.1,2024-09-29
2024-09-29 03:00:00,5.1,99,1.5,2024-09-29
2024-09-29 04:00:00,4.2,100,0.7,2024-09-29
2024-09-29 05:00:00,2.6,100,1.4,2024-09-29
2024-09-29 06:00:00,2.5,100,1.3,2024-09-29
2024-09-29 07:00:00,3.6,100,1.5,2024-09-29
2024-09-29 08:00:00,6.3,91,0.4,2024-09-29
2024-09-29 09:00:00,9.7,81,0.8,2024-09-29
2024-09-29 10:00:00,12.0,69,5.4,2024-09-29
2024-09-29 11:00:00,13.0,60,7.6,2024-09-29
2024-09-29 12:00:00,14.1,50,7.6,2024-09-29
2024-09-29 13:00:00,14.0,52,10.7,2024-09-29
2024-09-29 14:00:00,14.4,50,10.8,2024-09-29
2024-09-29 15:00:00,13.8,50,11.2,2024-09-29
2024-09-29 16:00:00,13.2,58,8.3,2024-09-29
2024-09-29 17:00:00,11.8,65,6.8,2024-09-29
2024-09-29 18:00:00,10.6,70,7.2,2024-09-29
2024-09-29 19:00:00,10.1,72,6.9,2024-09-29
2024-09-29 20:00:00,9.5,74,5.9,2024-09-29
2024-09-29 21:00:00,8.8,78,5.4,2024-09-29
2024-09-29 22:00:00,8.2,81,4.3,2024-09-29
2024-09-29 23:00:00,7.6,83,4.1,2024-09-29
2024-09-30 00:00:00,7.0,85,5.4,2024-09-30
2024-09-30 01:00:00,6.6,85,5.4,2024-09-30
2024-09-30 02:00:00,6.2,86,5.8,2024-09-30
2024-09-30 03:00:00,5.9,84,4.8,2024-09-30
2024-09-30 04:00:00,5.6,84,5.4,2024-09-30
2024-09-30 05:00:00,5.5,83,6.2,2024-09-30
2024-09-30 06:00:00,5.6,82,5.9,2024-09-30
2024-09-30 07:00:00,7.0,77,7.0,2024-09-30
2024-09-30 08:00:00,8.2,74,6.8,2024-09-30
2024-09-30 09:00:00,8.6,78,7.0,2024-09-30
2024-09-30 10:00:00,9.8,77,6.3,2024-09-30
2024-09-30 11:00:00,10.9,76,6.0,2024-09-30
