time,temperature_2m,relative_humidity_2m,wind_speed_10m,date
2024-10-02 00:00:00,10.3,96,2.6,2024-10-02
2024-10-02 01:00:00,10.6,96,4.0,2024-10-02
2024-10-02 02:00:00,10.9,96,3.0,2024-10-02
2024-10-02 03:00:00,10.6,96,4.0,2024-10-02
2024-10-02 04:00:00,10.5,96,3.7,2024-10-02
2024-10-02 05:00:00,10.3,96,5.9,2024-10-02
2024-10-02 06:00:00,10.2,97,6.0,2024-10-02
2024-10-02 07:00:00,10.5,94,9.0,2024-10-02
2024-10-02 08:00:00,11.0,91,6.3,2024-10-02
2024-10-02 09:00:00,11.4,90,8.8,2024-10-02
2024-10-02 10:00:00,12.1,87,5.8,2024-10-02
2024-10-02 11:00:00,12.9,82,6.0,2024-10-02
2024-10-02 12:00:00,13.9,76,12.0,2024-10-02
2024-10-02 13:00:00,14.5,77,12.1,2024-10-02
2024-10-02 14:00:00,14.8,68,9.8,2024-10-02
2024-10-02 15:00:00,15.2,68,8.7,2024-10-02
2024-10-02 16:00:00,14.5,71,7.2,2024-10-02
2024-10-02 17:00:00,13.3,79,4.0,2024-10-02
2024-10-02 18:00:00,12.5,85,2.6,2024-10-02
2024-10-02 19:00:00,12.4,84,4.3,2024-10-02
2024-10-02 20:00:00,11.6,85,3.6,2024-10-02
2024-10-02 21:00:00,10.9,90,3.3,2024-10-02
2024-10-02 22:00:00,10.7,92,4.1,2024-10-02
2024-10-02 23:00:00,11.1,91,7.6,2024-10-02
2024-10-03 00:00:00,10.7,91,9.0,2024-10-03
2024-10-03 01:00:00,10.4,88,11.5,2024-10-03
2024-10-03 02:00:00,9.9,88,10.7,2024-10-03
2024-10-03 03:00:00,9.6,88,10.0,2024-10-03
2024-10-03 04:00:00,9.4,88,9.8,2024-10-03
2024-10-03 05:00:00,9.2,85,10.3,2024-10-03
2024-10-03 06:00:00,8.9,85,9.8,2024-10-03
2024-10-03 07:00:00,9.1,84,8.1,2024-10-03
2024-10-03 08:00:00,9.8,81,7.9,2024-10-03
2024-10-03 09:00:00,10.9,77,12.6,2024-10-03
2024-10-03 10:00:00,12.0,71,12.0,2024-10-03
2024-10-03 11:00:00,12.3,69,13.6,2024-10-03
2024-10-03 12:00:00,12.6,70,13.0,2024-10-03
2024-10-03 13:00:00,12.9,73,11.9,2024-10-03
2024-10-03 14:00:00,13.2,68,12.6,2024-10-03
2024-10-03 15:00:00,13.0,67,11.4,2024-10-03
2024-10-03 16:00:00,12.5,70,11.2,2024-10-03
2024-10-03 17:00:00,11.7,75,7.6,2024-10-03
2024-10-03 18:00:00,11.0,77,6.8,2024-10-03
2024-10-03 19:00:00,10.6,78,8.0,2024-10-03
2024-10-03 20:00:00,10.1,80,7.6,2024-10-03
2024-10-03 21:00:00,9.6,84,6.5,2024-10-03
2024-10-03 22:00:00,9.2,86,6.8,2024-10-03
2024-10-03 23:00:00,8.7,88,7.1,2024-10-03
2024-10-04 00:00:00,8.8,88,6.2,2024-10-04
2024-10-04 01:00:00,9.1,89,6.2,2024-10-04
2024-10-04 02:00:00,9.2,89,6.9,2024-10-04
2024-10-04 03:00:00,9.5,89,7.6,2024-10-04
2024-10-04 04:00:00,9.7,88,7.2,2024-10-04
2024-10-04 05:00:00,9.6,88,8.6,2024-10-04
2024-10-04 06:00:00,9.6,86,8.0,2024-10-04
2024-10-04 07:00:00,9.8,86,9.7,2024-10-04
2024-10-04 08:00:00,10.4,84,10.2,2024-10-04
2024-10-04 09:00:00,11.2,79,14.5,2024-10-04
2024-10-04 10:00:00,11.9,75,13.6,2024-10-04
2024-10-04 11:00:00,12.5,73,13.2,2024-10-04
2024-10-04 12:00:00,13.0,67,14.2,2024-10-04
2024-10-04 13:00:00,12.7,71,11.5,2024-10-04
2024-10-04 14:00:00,12.8,70,10.2,2024-10-04
2024-10-04 15:00:00,12.3,73,9.2,2024-10-04
2024-10-04 16:00:00,11.2,82,6.6,2024-10-04
2024-10-04 17:00:00,10.7,82,5.4,2024-10-04
2024-10-04 18:00:00,10.2,81,5.1,2024-10-04
2024-10-04 19:00:00,9.9,81,5.4,2024-10-04
2024-10-04 20:00:00,9.5,82,5.4,2024-10-04
2024-10-04 21:00:00,9.2,83,4.5,2024-10-04
2024-10-04 22:00:00,8.9,84,4.0,2024-10-04
2024-10-04 23:00:00,8.6,85,3.7,2024-10-04
2024-10-05 00:00:00,8.4,87,3.8,2024-10-05
2024-10-05 01:00:00,8.4,88,4.1,2024-10-05
2024-10-05 02:00:00,8.5,88,3.5,2024-10-05
2024-10-05 03:00:00,8.4,88,3.8,2024-10-05
2024-10-05 04:00:00,8.1,89,3.4,2024-10-05
2024-10-05 05:00:00,7.9,90,3.5,2024-10-05
2024-10-05 06:00:00,7.9,89,3.3,2024-10-05
2024-10-05 07:00:00,8.6,87,3.7,2024-10-05
2024-10-05 08:00:00,9.9,82,6.5,2024-10-05
2024-10-05 09:00:00,11.0,78,7.5,2024-10-05
2024-10-05 10:00:00,12.2,72,8.4,2024-10-05
2024-10-05 11:00:00,13.0,68,7.5,2024-10-05
2024-10-05 12:00:00,13.5,66,6.9,2024-10-05
2024-10-05 13:00:00,12.9,67,8.7,2024-10-05
2024-10-05 14:00:00,12.3,74,8.5,2024-10-05
2024-10-05 15:00:00,11.8,77,7.9,2024-10-05
2024-10-05 16:00:00,11.1,84,6.8,2024-10-05
2024-10-05 17:00:00,10.3,87,5.4,2024-10-05
2024-10-05 18:00:00,9.7,89,3.5,2024-10-05
2024-10-05 19:00:00,9.1,91,3.5,2024-10-05
2024-10-05 20:00:00,8.5,93,3.5,2024-10-05
2024-10-05 21:00:00,7.9,94,4.0,2024-10-05
2024-10-05 22:00:00,7.4,95,4.2,2024-10-05
2024-10-05 23:00:00,6.8,95,4.1,2024-10-05
2024-10-06 00:00:00,6.3,95,3.8,2024-10-06
2024-10-06 01:00:00,5.6,96,3.3,2024-10-06
2024-10-06 02:00:00,5.0,96,3.1,2024-10-06
2024-10-06 03:00:00,4.4,97,2.9,2024-10-06
2024-10-06 04:00:00,3.8,98,2.9,2024-10-06
2024-10-06 05:00:00,3.3,99,3.2,2024-10-06
2024-10-06 06:00:00,3.6,98,3.8,2024-10-06
