time,temperature_2m,relative_humidity_2m,wind_speed_10m,date
2024-10-04 00:00:00,9.8,93,5.1,2024-10-04
2024-10-04 01:00:00,9.8,91,8.0,2024-10-04
2024-10-04 02:00:00,9.8,89,6.5,2024-10-04
2024-10-04 03:00:00,9.8,90,5.2,2024-10-04
2024-10-04 04:00:00,9.9,88,7.2,2024-10-04
2024-10-04 05:00:00,10.1,86,9.0,2024-10-04
2024-10-04 06:00:00,10.1,88,10.2,2024-10-04
2024-10-04 07:00:00,10.5,85,10.1,2024-10-04
2024-10-04 08:00:00,11.0,81,10.7,2024-10-04
2024-10-04 09:00:00,11.6,76,14.4,2024-10-04
2024-10-04 10:00:00,12.8,71,13.9,2024-10-04
2024-10-04 11:00:00,13.2,70,14.6,2024-10-04
2024-10-04 12:00:00,12.8,75,13.0,2024-10-04
2024-10-04 13:00:00,13.0,74,15.0,2024-10-04
2024-10-04 14:00:00,12.5,75,13.5,2024-10-04
2024-10-04 15:00:00,12.2,79,7.9,2024-10-04
2024-10-04 16:00:00,11.9,78,10.6,2024-10-04
2024-10-04 17:00:00,11.1,84,8.0,2024-10-04
2024-10-04 18:00:00,10.8,87,6.5,2024-10-04
2024-10-04 19:00:00,10.6,86,6.2,2024-10-04
2024-10-04 20:00:00,10.4,87,5.7,2024-10-04
2024-10-04 21:00:00,10.2,87,5.9,2024-10-04
2024-10-04 22:00:00,10.0,86,4.9,2024-10-04
2024-10-04 23:00:00,9.8,87,5.5,2024-10-04
2024-10-05 00:00:00,9.5,89,5.4,2024-10-05
2024-10-05 01:00:00,9.4,90,5.0,2024-10-05
2024-10-05 02:00:00,9.4,89,5.1,2024-10-05
2024-10-05 03:00:00,9.4,90,4.0,2024-10-05
2024-10-05 04:00:00,9.2,91,3.9,2024-10-05
2024-10-05 05:00:00,8.8,93,3.5,2024-10-05
2024-10-05 06:00:00,8.6,94,4.2,2024-10-05
2024-10-05 07:00:00,9.3,90,5.2,2024-10-05
2024-10-05 08:00:00,10.1,87,7.2,2024-10-05
2024-10-05 09:00:00,10.8,83,9.2,2024-10-05
2024-10-05 10:00:00,11.0,83,8.9,2024-10-05
2024-10-05 11:00:00,11.9,77,8.1,2024-10-05
2024-10-05 12:00:00,12.1,75,8.7,2024-10-05
2024-10-05 13:00:00,12.6,72,8.7,2024-10-05
2024-10-05 14:00:00,12.3,72,8.0,2024-10-05
2024-10-05 15:00:00,12.6,73,8.4,2024-10-05
2024-10-05 16:00:00,11.9,77,8.0,2024-10-05
2024-10-05 17:00:00,10.9,83,6.0,2024-10-05
2024-10-05 18:00:00,10.5,87,5.6,2024-10-05
2024-10-05 19:00:00,10.2,86,3.9,2024-10-05
2024-10-05 20:00:00,9.8,89,3.1,2024-10-05
2024-10-05 21:00:00,9.1,91,3.1,2024-10-05
2024-10-05 22:00:00,8.2,93,3.1,2024-10-05
2024-10-05 23:00:00,7.4,96,2.4,2024-10-05
2024-10-06 00:00:00,6.5,98,3.3,2024-10-06
2024-10-06 01:00:00,5.8,99,2.9,2024-10-06
2024-10-06 02:00:00,5.5,99,0.4,2024-10-06
2024-10-06 03:00:00,5.2,100,2.5,2024-10-06
2024-10-06 04:00:00,4.6,100,1.3,2024-10-06
2024-10-06 05:00:00,4.5,100,2.6,2024-10-06
2024-10-06 06:00:00,5.0,100,3.1,2024-10-06
2024-10-06 07:00:00,6.3,96,1.9,2024-10-06
2024-10-06 08:00:00,7.6,91,7.9,2024-10-06
2024-10-06 09:00:00,8.8,87,8.7,2024-10-06
2024-10-06 10:00:00,9.8,84,8.7,2024-10-06
2024-10-06 11:00:00,11.3,78,10.5,2024-10-06
2024-10-06 12:00:00,12.1,76,10.6,2024-10-06
2024-10-06 13:00:00,13.0,74,10.6,2024-10-06
2024-10-06 14:00:00,13.3,72,10.9,2024-10-06
2024-10-06 15:00:00,13.1,73,10.7,2024-10-06
2024-10-06 16:00:00,12.4,76,8.9,2024-10-06
2024-10-06 17:00:00,11.6,81,5.1,2024-10-06
2024-10-06 18:00:00,10.8,85,4.2,2024-10-06
2024-10-06 19:00:00,9.8,88,4.2,2024-10-06
2024-10-06 20:00:00,8.9,91,3.8,2024-10-06
2024-10-06 21:00:00,8.4,92,3.6,2024-10-06
2024-10-06 22:00:00,8.6,93,3.6,2024-10-06
2024-10-06 23:00:00,8.9,92,2.9,2024-10-06
2024-10-07 00:00:00,9.2,91,2.2,2024-10-07
2024-10-07 01:00:00,9.2,91,3.3,2024-10-07
2024-10-07 02:00:00,9.2,91,0.8,2024-10-07
2024-10-07 03:00:00,9.3,88,1.8,2024-10-07
2024-10-07 04:00:00,9.4,89,2.4,2024-10-07
2024-10-07 05:00:00,9.6,91,2.1,2024-10-07
2024-10-07 06:00:00,10.0,90,2.6,2024-10-07
2024-10-07 07:00:00,10.5,91,2.8,2024-10-07
2024-10-07 08:00:00,11.5,89,2.2,2024-10-07
2024-10-07 09:00:00,12.4,88,3.1,2024-10-07
2024-10-07 10:00:00,13.6,87,3.4,2024-10-07
2024-10-07 11:00:00,15.0,85,6.1,2024-10-07
2024-10-07 12:00:00,16.7,81,9.1,2024-10-07
2024-10-07 13:00:00,17.3,80,7.8,2024-10-07
2024-10-07 14:00:00,17.5,81,4.8,2024-10-07
2024-10-07 15:00:00,17.4,82,2.5,2024-10-07
2024-10-07 16:00:00,16.9,85,2.1,2024-10-07
2024-10-07 17:00:00,16.0,88,3.3,2024-10-07
2024-10-07 18:00:00,15.2,91,4.5,2024-10-07
2024-10-07 19:00:00,14.8,93,4.5,2024-10-07
2024-10-07 20:00:00,14.6,94,3.6,2024-10-07
2024-10-07 21:00:00,14.4,95,3.6,2024-10-07
2024-10-07 22:00:00,14.2,95,4.7,2024-10-07
2024-10-07 23:00:00,14.0,96,5.8,2024-10-07
2024-10-08 00:00:00,13.8,95,6.8,2024-10-08
2024-10-08 01:00:00,13.5,94,6.8,2024-10-08
2024-10-08 02:00:00,13.3,92,6.5,2024-10-08
2024-10-08 03:00:00,13.1,90,5.8,2024-10-08
2024-10-08 04:00:00,13.0,89,5.6,2024-10-08
2024-10-08 05:00:00,12.9,89,5.0,2024-10-08
2024-10-08 06:00:00,13.0,89,4.8,2024-10-08
2024-10-08 07:00:00,13.2,90,4.7,2024-10-08
2024-10-08 08:00:00,13.5,91,4.6,2024-10-08
2024-10-08 09:00:00,14.0,92,4.1,2024-10-08
2024-10-08 10:00:00,14.8,92,3.0,2024-10-08
2024-10-08 11:00:00,15.8,91,1.3,2024-10-08
2024-10-08 12:00:00,16.4,91,1.0,2024-10-08
