time,temperature_2m,relative_humidity_2m,wind_speed_10m,date
2024-09-11 00:00:00,14.5,75,12.1,2024-09-11
2024-09-11 01:00:00,14.3,77,13.2,2024-09-11
2024-09-11 02:00:00,14.5,75,14.4,2024-09-11
2024-09-11 03:00:00,14.8,74,12.9,2024-09-11
2024-09-11 04:00:00,14.7,75,13.5,2024-09-11
2024-09-11 05:00:00,14.9,72,17.5,2024-09-11
2024-09-11 06:00:00,14.7,73,19.6,2024-09-11
2024-09-11 07:00:00,14.8,73,19.4,2024-09-11
2024-09-11 08:00:00,14.9,72,19.7,2024-09-11
2024-09-11 09:00:00,14.8,76,16.2,2024-09-11
2024-09-11 10:00:00,14.8,77,16.4,2024-09-11
2024-09-11 11:00:00,14.1,84,13.7,2024-09-11
2024-09-11 12:00:00,13.2,78,12.0,2024-09-11
2024-09-11 13:00:00,13.0,77,9.4,2024-09-11
2024-09-11 14:00:00,13.3,79,9.2,2024-09-11
2024-09-11 15:00:00,14.1,72,9.5,2024-09-11
2024-09-11 16:00:00,14.1,68,8.0,2024-09-11
2024-09-11 17:00:00,13.5,68,7.6,2024-09-11
2024-09-11 18:00:00,12.9,72,6.4,2024-09-11
2024-09-11 19:00:00,12.4,71,5.7,2024-09-11
2024-09-11 20:00:00,11.9,79,4.9,2024-09-11
2024-09-11 21:00:00,11.7,87,4.9,2024-09-11
2024-09-11 22:00:00,11.5,86,3.3,2024-09-11
2024-09-11 23:00:00,10.9,89,2.7,2024-09-11
2024-09-12 00:00:00,10.3,91,3.3,2024-09-12
2024-09-12 01:00:00,10.0,91,4.0,2024-09-12
2024-09-12 02:00:00,9.6,92,3.4,2024-09-12
2024-09-12 03:00:00,8.9,91,4.3,2024-09-12
2024-09-12 04:00:00,8.3,92,4.3,2024-09-12
2024-09-12 05:00:00,7.8,93,3.6,2024-09-12
2024-09-12 06:00:00,8.1,92,5.2,2024-09-12
2024-09-12 07:00:00,10.1,82,8.9,2024-09-12
2024-09-12 08:00:00,11.4,73,9.7,2024-09-12
2024-09-12 09:00:00,12.5,66,9.1,2024-09-12
2024-09-12 10:00:00,13.6,64,9.8,2024-09-12
2024-09-12 11:00:00,12.9,64,8.7,2024-09-12
2024-09-12 12:00:00,14.5,54,14.0,2024-09-12
2024-09-12 13:00:00,14.8,52,10.1,2024-09-12
2024-09-12 14:00:00,14.9,51,10.5,2024-09-12
2024-09-12 15:00:00,14.8,50,7.9,2024-09-12
2024-09-12 16:00:00,14.0,52,12.6,2024-09-12
2024-09-12 17:00:00,13.3,52,6.2,2024-09-12
2024-09-12 18:00:00,12.0,61,4.5,2024-09-12
2024-09-12 19:00:00,10.9,66,4.6,2024-09-12
2024-09-12 20:00:00,10.1,74,3.4,2024-09-12
2024-09-12 21:00:00,9.4,79,3.2,2024-09-12
2024-09-12 22:00:00,8.7,81,3.4,2024-09-12
