time,temperature_2m,relative_humidity_2m,wind_speed_10m,date
2024-09-17 00:00:00,13.2,82,7.2,2024-09-17
2024-09-17 01:00:00,13.5,81,8.7,2024-09-17
2024-09-17 02:00:00,13.7,83,9.8,2024-09-17
2024-09-17 03:00:00,14.0,83,10.9,2024-09-17
2024-09-17 04:00:00,13.6,87,11.1,2024-09-17
2024-09-17 05:00:00,13.7,88,10.3,2024-09-17
2024-09-17 06:00:00,14.1,88,10.0,2024-09-17
2024-09-17 07:00:00,14.9,85,14.6,2024-09-17
2024-09-17 08:00:00,16.0,82,16.3,2024-09-17
2024-09-17 09:00:00,17.6,74,17.7,2024-09-17
2024-09-17 10:00:00,19.0,66,20.9,2024-09-17
2024-09-17 11:00:00,20.1,61,21.5,2024-09-17
2024-09-17 12:00:00,21.2,56,20.6,2024-09-17
2024-09-17 13:00:00,21.5,56,19.5,2024-09-17
2024-09-17 14:00:00,21.6,56,19.7,2024-09-17
2024-09-17 15:00:00,20.7,60,18.4,2024-09-17
2024-09-17 16:00:00,20.1,63,17.4,2024-09-17
2024-09-17 17:00:00,19.3,67,15.5,2024-09-17
2024-09-17 18:00:00,18.4,71,12.3,2024-09-17
2024-09-17 19:00:00,17.6,75,12.7,2024-09-17
2024-09-17 20:00:00,16.7,80,11.2,2024-09-17
2024-09-17 21:00:00,16.0,84,10.4,2024-09-17
2024-09-17 22:00:00,15.7,87,10.9,2024-09-17
2024-09-17 23:00:00,15.3,89,10.4,2024-09-17
2024-09-18 00:00:00,15.2,88,11.0,2024-09-18
2024-09-18 01:00:00,15.2,86,10.7,2024-09-18
2024-09-18 02:00:00,14.8,86,11.2,2024-09-18
2024-09-18 03:00:00,14.5,88,10.2,2024-09-18
2024-09-18 04:00:00,14.2,88,10.2,2024-09-18
2024-09-18 05:00:00,14.0,87,9.7,2024-09-18
2024-09-18 06:00:00,14.2,85,9.2,2024-09-18
2024-09-18 07:00:00,15.4,80,11.7,2024-09-18
2024-09-18 08:00:00,17.2,72,15.1,2024-09-18
2024-09-18 09:00:00,18.9,65,16.6,2024-09-18
2024-09-18 10:00:00,20.4,61,17.4,2024-09-18
2024-09-18 11:00:00,21.9,57,16.3,2024-09-18
2024-09-18 12:00:00,23.1,51,17.8,2024-09-18
2024-09-18 13:00:00,23.7,47,19.8,2024-09-18
2024-09-18 14:00:00,24.1,43,19.6,2024-09-18
2024-09-18 15:00:00,23.7,41,19.5,2024-09-18
2024-09-18 16:00:00,22.8,44,14.0,2024-09-18
2024-09-18 17:00:00,21.1,54,9.2,2024-09-18
2024-09-18 18:00:00,19.2,70,9.2,2024-09-18
2024-09-18 19:00:00,18.4,81,12.6,2024-09-18
2024-09-18 20:00:00,17.7,82,13.1,2024-09-18
2024-09-18 21:00:00,17.0,81,12.6,2024-09-18
2024-09-18 22:00:00,16.4,79,11.8,2024-09-18
2024-09-18 23:00:00,15.9,79,10.2,2024-09-18
2024-09-19 00:00:00,15.4,79,10.3,2024-09-19
2024-09-19 01:00:00,14.9,79,10.0,2024-09-19
2024-09-19 02:00:00,14.5,81,9.7,2024-09-19
2024-09-19 03:00:00,14.1,83,10.2,2024-09-19
2024-09-19 04:00:00,13.8,83,11.5,2024-09-19
2024-09-19 05:00:00,13.8,82,11.7,2024-09-19
2024-09-19 06:00:00,14.0,82,6.6,2024-09-19
2024-09-19 07:00:00,15.2,77,9.2,2024-09-19
2024-09-19 08:00:00,17.2,70,14.3,2024-09-19
2024-09-19 09:00:00,19.0,65,15.8,2024-09-19
2024-09-19 10:00:00,20.6,60,17.6,2024-09-19
2024-09-19 11:00:00,22.0,55,17.8,2024-09-19
2024-09-19 12:00:00,22.9,47,19.0,2024-09-19
2024-09-19 13:00:00,21.9,51,20.3,2024-09-19
2024-09-19 14:00:00,21.8,49,19.9,2024-09-19
2024-09-19 15:00:00,21.2,50,19.4,2024-09-19
2024-09-19 16:00:00,20.3,55,17.4,2024-09-19
2024-09-19 17:00:00,19.0,60,14.0,2024-09-19
2024-09-19 18:00:00,17.4,70,9.9,2024-09-19
2024-09-19 19:00:00,16.3,78,10.3,2024-09-19
2024-09-19 20:00:00,15.5,84,10.2,2024-09-19
2024-09-19 21:00:00,14.8,87,10.5,2024-09-19
2024-09-19 22:00:00,14.3,90,10.4,2024-09-19
2024-09-19 23:00:00,13.9,92,10.5,2024-09-19
2024-09-20 00:00:00,13.6,92,9.7,2024-09-20
2024-09-20 01:00:00,13.3,92,10.0,2024-09-20
2024-09-20 02:00:00,13.0,92,9.2,2024-09-20
2024-09-20 03:00:00,12.6,92,8.2,2024-09-20
2024-09-20 04:00:00,12.3,91,8.4,2024-09-20
2024-09-20 05:00:00,12.1,91,7.4,2024-09-20
2024-09-20 06:00:00,12.3,91,7.5,2024-09-20
2024-09-20 07:00:00,13.4,86,10.0,2024-09-20
2024-09-20 08:00:00,15.0,79,11.6,2024-09-20
2024-09-20 09:00:00,16.6,73,13.4,2024-09-20
2024-09-20 10:00:00,18.2,67,13.9,2024-09-20
2024-09-20 11:00:00,19.6,64,13.6,2024-09-20
2024-09-20 12:00:00,20.6,57,14.5,2024-09-20
2024-09-20 13:00:00,21.1,54,14.3,2024-09-20
2024-09-20 14:00:00,21.3,52,13.3,2024-09-20
2024-09-20 15:00:00,21.0,53,11.8,2024-09-20
2024-09-20 16:00:00,20.0,58,9.5,2024-09-20
2024-09-20 17:00:00,18.5,66,6.8,2024-09-20
2024-09-20 18:00:00,17.1,72,5.1,2024-09-20
2024-09-20 19:00:00,16.1,76,4.6,2024-09-20
2024-09-20 20:00:00,15.3,79,4.5,2024-09-20
2024-09-20 21:00:00,14.5,81,4.6,2024-09-20
2024-09-20 22:00:00,13.8,83,4.6,2024-09-20
2024-09-20 23:00:00,13.3,85,4.3,2024-09-20
2024-09-21 00:00:00,12.7,87,4.1,2024-09-21
2024-09-21 01:00:00,12.3,89,3.9,2024-09-21
2024-09-21 02:00:00,11.9,90,3.2,2024-09-21
2024-09-21 03:00:00,11.5,91,3.1,2024-09-21
2024-09-21 04:00:00,11.0,93,3.0,2024-09-21
2024-09-21 05:00:00,10.6,94,2.9,2024-09-21
2024-09-21 06:00:00,10.9,93,3.0,2024-09-21
2024-09-21 07:00:00,12.3,88,3.6,2024-09-21
2024-09-21 08:00:00,14.4,82,5.0,2024-09-21
2024-09-21 09:00:00,16.3,75,6.7,2024-09-21
2024-09-21 10:00:00,17.9,69,7.9,2024-09-21
2024-09-21 11:00:00,19.3,64,9.4,2024-09-21
2024-09-21 12:00:00,20.3,60,10.3,2024-09-21
2024-09-21 13:00:00,20.9,57,10.7,2024-09-21
2024-09-21 14:00:00,21.1,56,10.3,2024-09-21
2024-09-21 15:00:00,21.0,57,9.2,2024-09-21
2024-09-21 16:00:00,20.3,61,6.9,2024-09-21
2024-09-21 17:00:00,19.2,67,4.4,2024-09-21
2024-09-21 18:00:00,18.2,73,3.1,2024-09-21
2024-09-21 19:00:00,17.4,77,3.1,2024-09-21
2024-09-21 20:00:00,16.6,81,3.3,2024-09-21
2024-09-21 21:00:00,16.0,83,3.6,2024-09-21
2024-09-21 22:00:00,15.6,84,3.6,2024-09-21
2024-09-21 23:00:00,15.3,84,3.6,2024-09-21
2024-09-22 00:00:00,15.0,84,3.6,2024-09-22
2024-09-22 01:00:00,14.7,85,3.3,2024-09-22
2024-09-22 02:00:00,14.4,87,3.1,2024-09-22
2024-09-22 03:00:00,14.1,88,2.9,2024-09-22
2024-09-22 04:00:00,13.9,89,2.9,2024-09-22
2024-09-22 05:00:00,13.7,90,2.8,2024-09-22
2024-09-22 06:00:00,13.6,90,2.8,2024-09-22
2024-09-22 07:00:00,11.5,96,0.8,2024-09-22
2024-09-22 08:00:00,13.8,90,0.8,2024-09-22
2024-09-22 09:00:00,15.9,84,1.3,2024-09-22
2024-09-22 10:00:00,17.6,78,2.2,2024-09-22
2024-09-22 11:00:00,19.1,71,4.0,2024-09-22
2024-09-22 12:00:00,20.1,66,5.4,2024-09-22
2024-09-22 13:00:00,20.5,64,5.8,2024-09-22
2024-09-22 14:00:00,20.4,63,6.1,2024-09-22
2024-09-22 15:00:00,19.9,65,5.9,2024-09-22
2024-09-22 16:00:00,19.0,71,5.1,2024-09-22
2024-09-22 17:00:00,17.8,79,4.1,2024-09-22
2024-09-22 18:00:00,16.8,85,3.2,2024-09-22
2024-09-22 19:00:00,16.2,88,3.0,2024-09-22
2024-09-22 20:00:00,15.9,91,2.9,2024-09-22
2024-09-22 21:00:00,15.5,92,2.9,2024-09-22
2024-09-22 22:00:00,14.9,93,2.9,2024-09-22
2024-09-22 23:00:00,14.3,93,3.0,2024-09-22
2024-09-23 00:00:00,13.7,94,3.1,2024-09-23
2024-09-23 01:00:00,13.4,95,3.0,2024-09-23
2024-09-23 02:00:00,13.1,97,2.9,2024-09-23
2024-09-23 03:00:00,12.9,98,2.9,2024-09-23
2024-09-23 04:00:00,12.6,100,2.9,2024-09-23
2024-09-23 05:00:00,12.4,100,2.5,2024-09-23
2024-09-23 06:00:00,12.6,100,2.9,2024-09-23
2024-09-23 07:00:00,13.8,96,3.8,2024-09-23
2024-09-23 08:00:00,15.4,89,5.5,2024-09-23
2024-09-23 09:00:00,16.9,82,7.1,2024-09-23
2024-09-23 10:00:00,18.0,75,8.2,2024-09-23
2024-09-23 11:00:00,18.9,68,9.2,2024-09-23
2024-09-23 12:00:00,19.6,63,9.5,2024-09-23
2024-09-23 13:00:00,19.9,61,9.1,2024-09-23
2024-09-23 14:00:00,20.0,60,8.1,2024-09-23
2024-09-23 15:00:00,19.7,62,6.9,2024-09-23
2024-09-23 16:00:00,18.8,66,5.0,2024-09-23
2024-09-23 17:00:00,17.5,72,2.7,2024-09-23
2024-09-23 18:00:00,16.4,77,1.6,2024-09-23
2024-09-23 19:00:00,15.6,80,1.8,2024-09-23
2024-09-23 20:00:00,15.1,81,1.8,2024-09-23
2024-09-23 21:00:00,14.6,83,1.5,2024-09-23
2024-09-23 22:00:00,14.2,86,1.0,2024-09-23
2024-09-23 23:00:00,13.8,89,1.4,2024-09-23
